WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
754	AWC33172.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
755	AWC37197.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
756	AWC49242.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
757	AWC65516.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
758	AWC41311.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
759	AWC57385.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
760	AWC61463.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
761	AWC53257.1	 351	  58.0	 3.4E-18	 1.9E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus cytotoxicus]	   78: 1.6e-04  118: 1.2e-04  159: 5.9e-08  199: 1.3e-06  233: 2.6e-04
762	AUS10661.1	 377	  57.9	 3.6E-18	 2.1E-14 	100.00%	 5	aspartate phosphatase [Bacillus subtilis]	  100: 9.6e-05  140: 5.1e-05  181: 2.2e-04  221: 7.4e-10  260: 3.1e-04
763	QHZ46950.1	 376	  57.7	 4.3E-18	 2.5E-14 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. NSP9.1]	   99: 1.0e-03  140: 8.3e-05  181: 1.7e-02  221: 4.7e-07  260: 1.8e-07  298: 8.7e-02  334: 2.8e-04
764	QNN75370.1	 423	  57.7	 4.3E-18	 2.4E-14 	100.00%	 8	tetratricopeptide repeat protein [Weissella diestrammenae]	   33: 1.3e-04   67: 1.3e-02  101: 4.5e-04  135: 3.6e-04  172: 2.4e-05  206: 8.1e-02  240: 2.2e-06  274: 5.0e-05
765	QAW17334.1	 377	  57.6	 4.4E-18	 2.5E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus subtilis]	  100: 9.6e-05  140: 5.1e-05  181: 2.2e-04  221: 7.4e-10  260: 3.8e-04
766	QAW21418.1	 377	  57.6	 4.4E-18	 2.5E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus subtilis]	  100: 9.6e-05  140: 5.1e-05  181: 2.2e-04  221: 7.4e-10  260: 3.8e-04
767	AHX20496.1	 364	  57.5	 5.0E-18	 2.9E-14 	100.00%	 5	histidine kinase [Bacillus bombysepticus str. Wang]	   91: 3.6e-04  131: 5.0e-06  172: 3.0e-05  212: 1.1e-07  246: 7.2e-05
768	AJQ62520.1	 364	  57.4	 5.1E-18	 2.9E-14 	100.00%	 7	histidine kinase (plasmid) [Bacillus thuringiensis serovar morrisoni]	   91: 8.3e-04  131: 1.7e-04  172: 3.2e-07  212: 1.5e-06  253: 2.4e-03  290: 7.1e-02  324: 3.1e-04
769	QUG43129.1	 414	  57.4	 5.3E-18	 3.0E-14 	100.00%	 4	helix-turn-helix transcriptional regulator [Psychrobacillus sp. INOP01]	  143: 9.5e-05  183: 3.0e-06  223: 6.1e-08  263: 2.7e-07
770	AEP88695.1	 381	  57.3	 5.8E-18	 3.3E-14 	100.00%	 5	response regulator aspartate phosphatase F [Bacillus subtilis subsp. spizizenii TU-B-10]	  101: 5.1e-03  141: 1.8e-04  182: 3.5e-06  222: 2.5e-09  262: 4.9e-05
771	AND43137.1	 422	  57.3	 5.8E-18	 3.3E-14 	100.00%	 6	transcriptional regulator (plasmid) [Bacillus oceanisediminis 2691]	  145: 8.9e-04  186: 2.5e-05  226: 3.5e-07  266: 4.5e-06  305: 1.2e-03  385: 7.6e-03
772	AGE62227.1	 388	  57.2	 6.0E-18	 3.4E-14 	100.00%	 4	Response regulator aspartate phosphatase C [Bacillus subtilis XF-1]	  155: 1.2e-04  189: 4.3e-04  229: 1.4e-10  269: 1.1e-06
773	BAK29792.1	 411	  57.1	 6.4E-18	 3.7E-14 	100.00%	 6	tetratricopeptide repeat-containing protein [Streptococcus pasteurianus ATCC 43144]	  130: 5.2e-04  167: 4.9e-10  234: 2.2e-03  268: 3.0e-04  332: 6.9e-05  366: 1.0e-03
774	QAA31213.1	 398	  57.1	 6.4E-18	 3.7E-14 	100.00%	 4	hypothetical protein C1I91_05900 [Clostridium sp. CT4]	  192: 1.6e-06  228: 1.8e-07  265: 3.0e-08  304: 8.3e-04
775	QCE36520.1	 411	  57.1	 6.4E-18	 3.7E-14 	100.00%	 6	tetratricopeptide repeat protein [Streptococcus pasteurianus]	  130: 5.2e-04  167: 4.9e-10  234: 2.2e-03  268: 3.0e-04  332: 6.9e-05  366: 1.0e-03
776	AGE81617.1	 366	  56.9	 7.3E-18	 4.2E-14 	100.00%	 5	Response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis serovar kurstaki str. HD73]	   93: 3.9e-04  133: 4.6e-05  174: 1.1e-05  214: 5.8e-07  248: 5.5e-06
777	AGG04809.1	 366	  56.9	 7.3E-18	 4.2E-14 	100.00%	 5	response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis serovar thuringiensis str. IS5056]	   93: 3.9e-04  133: 4.6e-05  174: 1.1e-05  214: 5.8e-07  248: 5.5e-06
778	AHZ55214.1	 366	  56.9	 7.3E-18	 4.2E-14 	100.00%	 5	Response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis serovar kurstaki str. YBT-1520]	   93: 3.9e-04  133: 4.6e-05  174: 1.1e-05  214: 5.8e-07  248: 5.5e-06
779	AIM34460.1	 366	  56.9	 7.3E-18	 4.2E-14 	100.00%	 5	response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis serovar kurstaki str. YBT-1520]	   93: 3.9e-04  133: 4.6e-05  174: 1.1e-05  214: 5.8e-07  248: 5.5e-06
780	AKR38677.1	 366	  56.9	 7.3E-18	 4.2E-14 	100.00%	 5	Response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis serovar indiana]	   93: 3.9e-04  133: 4.6e-05  174: 1.1e-05  214: 5.8e-07  248: 5.5e-06
781	ARP61587.1	 366	  56.9	 7.3E-18	 4.2E-14 	100.00%	 5	hypothetical protein CAB88_31750 (plasmid) [Bacillus thuringiensis]	   93: 3.9e-04  133: 4.6e-05  174: 1.1e-05  214: 5.8e-07  248: 5.5e-06
782	AGN35981.1	 376	  56.7	 8.4E-18	 4.8E-14 	100.00%	 5	response regulator aspartate phosphatase RapB-like protein [Bacillus paralicheniformis ATCC 9945a]	   99: 3.1e-05  139: 2.3e-03  180: 3.7e-05  220: 1.4e-08  259: 1.7e-05
783	ARA85370.1	 376	  56.7	 8.4E-18	 4.8E-14 	100.00%	 5	aspartate phosphatase [Bacillus paralicheniformis]	   99: 3.1e-05  139: 2.3e-03  180: 3.7e-05  220: 1.4e-08  259: 1.7e-05
784	AYQ16032.1	 376	  56.7	 8.4E-18	 4.8E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus paralicheniformis]	   99: 3.1e-05  139: 2.3e-03  180: 3.7e-05  220: 1.4e-08  259: 1.7e-05
785	QFY39208.1	 376	  56.7	 8.4E-18	 4.8E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus paralicheniformis]	   99: 3.1e-05  139: 2.3e-03  180: 3.7e-05  220: 1.4e-08  259: 1.7e-05
786	ASK59683.1	 357	  56.6	 9.1E-18	 5.2E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   79: 5.2e-05  119: 1.6e-05  160: 1.7e-04  201: 4.3e-09  240: 1.5e-03
787	ATV24047.1	 357	  56.6	 9.1E-18	 5.2E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus sp. Lzh-5]	   79: 5.2e-05  119: 1.6e-05  160: 1.7e-04  201: 4.3e-09  240: 1.5e-03
788	AFJ61408.1	 375	  56.4	 1.0E-17	 5.8E-14 	100.00%	 4	putative glycosyltransferase [Bacillus amyloliquefaciens Y2]	  206: 9.3e-03  245: 3.3e-08  279: 1.6e-08  324: 1.2e-04
789	QRY36594.1	 392	  56.4	 1.0E-17	 5.9E-14 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. PDNC022]	   89: 6.3e-03  129: 1.7e-06  170: 4.6e-06  210: 6.2e-07  249: 2.7e-02  288: 7.3e-04  327: 4.6e-03
790	AHA75417.1	 297	  56.3	 1.1E-17	 6.3E-14 	100.00%	 5	response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis YBT-1518]	   24: 1.6e-03   64: 2.3e-04  105: 1.5e-08  145: 1.2e-06  179: 6.6e-04
791	AME07664.1	 376	  56.3	 1.1E-17	 6.5E-14 	100.00%	 5	aspartate phosphatase [Bacillus sp. SDLI1]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 5.0e-04
792	AUJ76272.1	 376	  56.3	 1.1E-17	 6.5E-14 	100.00%	 5	tetratricopeptide repeat-containing protein [Bacillus siamensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 5.0e-04
793	QEK63419.1	 392	  56.3	 1.1E-17	 6.3E-14 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus safensis]	   89: 6.3e-03  129: 1.7e-06  170: 3.3e-06  210: 6.2e-07  249: 2.7e-02  288: 1.1e-03  327: 4.6e-03
794	QHF59897.1	 381	  56.3	 1.1E-17	 6.4E-14 	100.00%	 5	regulator aspartate phosphatase F [Bacillus subtilis]	  101: 4.9e-03  141: 1.2e-04  182: 3.5e-06  222: 2.3e-09  262: 1.6e-04
795	QIW81278.1	 377	  56.3	 1.1E-17	 6.3E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus tequilensis]	  100: 9.6e-05  140: 5.1e-05  181: 2.2e-04  221: 7.4e-10  260: 9.4e-04
796	AEA19285.1	 394	  56.2	 1.2E-17	 7.0E-14 	100.00%	 5	Response regulator aspartate phosphatase (plasmid) [Bacillus thuringiensis serovar chinensis CT-43]	  121: 3.9e-04  161: 4.6e-05  202: 1.1e-05  242: 5.8e-07  276: 5.5e-06
797	AEP92805.1	 381	  56.2	 1.2E-17	 6.9E-14 	100.00%	 5	response regulator aspartate phosphatase F [Bacillus subtilis subsp. subtilis str. RO-NN-1]	  101: 4.9e-03  141: 1.2e-04  182: 3.5e-06  222: 2.5e-09  262: 1.6e-04
798	AGE65355.1	 381	  56.2	 1.2E-17	 6.9E-14 	100.00%	 5	response regulator aspartate phosphatase [Bacillus subtilis XF-1]	  101: 4.9e-03  141: 1.2e-04  182: 3.5e-06  222: 2.5e-09  262: 1.6e-04
799	ASK25798.1	 381	  56.2	 1.2E-17	 6.9E-14 	100.00%	 5	response regulator aspartate phosphatase [Bacillus subtilis]	  101: 4.9e-03  141: 1.2e-04  182: 3.5e-06  222: 2.5e-09  262: 1.6e-04
800	QCR33675.1	 469	  56.3	 1.2E-17	 6.7E-14 	100.00%	 5	hypothetical protein C1N55_16600 [Lysinibacillus sp. SGAir0095]	   44: 1.4e-05   84: 1.5e-04  124: 5.3e-08  167: 1.6e-05  207: 1.0e-04
801	ABG82788.1	 266	  56.1	 1.3E-17	 7.7E-14 	100.00%	 4	TPR domain protein [Clostridium perfringens ATCC 13124]	   43: 4.1e-05  147: 1.8e-05  181: 5.6e-07  215: 7.4e-06
802	QPI79298.1	 423	  56.0	 1.4E-17	 8.0E-14 	100.00%	 7	helix-turn-helix transcriptional regulator [Bacillus paranthracis]	  150: 2.1e-04  190: 1.5e-02  230: 3.0e-05  270: 1.5e-07  310: 2.6e-02  350: 4.4e-05  390: 1.1e-04
803	ALV02478.1	 376	  55.9	 1.5E-17	 8.7E-14 	100.00%	 5	aspartate phosphatase [Bacillus amyloliquefaciens]	   98: 5.3e-05  138: 1.0e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
804	AMP33073.1	 376	  55.9	 1.5E-17	 8.7E-14 	100.00%	 5	aspartate phosphatase [Bacillus amyloliquefaciens]	   98: 5.3e-05  138: 1.0e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
805	QPV72991.1	 376	  55.9	 1.5E-17	 8.7E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.0e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
806	QVL94474.1	 376	  55.9	 1.5E-17	 8.7E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.0e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
807	CBI44007.1	 376	  55.8	 1.6E-17	 9.3E-14 	100.00%	 5	response regulator aspartate phosphatase [Bacillus amyloliquefaciens DSM 7]	   98: 5.1e-05  138: 1.6e-05  179: 1.7e-04  220: 7.5e-09  259: 1.1e-03
808	AIW34874.1	 376	  55.8	 1.6E-17	 9.3E-14 	100.00%	 5	aspartate phosphatase [Bacillus subtilis]	   98: 5.1e-05  138: 1.6e-05  179: 1.7e-04  220: 7.5e-09  259: 1.1e-03
809	ASF29869.1	 376	  55.8	 1.6E-17	 9.3E-14 	100.00%	 5	aspartate phosphatase [Bacillus amyloliquefaciens]	   98: 5.1e-05  138: 1.6e-05  179: 1.7e-04  220: 7.5e-09  259: 1.1e-03
810	QDP93257.1	 376	  55.8	 1.6E-17	 9.3E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	   98: 5.1e-05  138: 1.6e-05  179: 1.7e-04  220: 7.5e-09  259: 1.1e-03
811	QKN93180.1	 376	  55.8	 1.6E-17	 9.3E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	   98: 5.1e-05  138: 1.6e-05  179: 1.7e-04  220: 7.5e-09  259: 1.1e-03
812	QRV08562.1	 376	  55.8	 1.6E-17	 9.4E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 6.1e-05  138: 1.6e-05  179: 2.5e-04  220: 4.4e-09  259: 1.1e-03
813	BAI87408.1	 381	  55.7	 1.7E-17	 1.0E-13 	100.00%	 5	response regulator aspartate phosphatase [Bacillus subtilis subsp. natto BEST195]	  101: 4.9e-03  141: 1.8e-04  182: 3.5e-06  222: 2.3e-09  262: 1.6e-04
814	ATU28013.1	 376	  55.7	 1.7E-17	 9.6E-14 	100.00%	 5	aspartate phosphatase [Bacillus velezensis]	   98: 5.2e-05  138: 1.6e-05  179: 1.7e-04  220: 4.3e-09  259: 1.9e-03
815	ATY29585.1	 376	  55.7	 1.7E-17	 9.6E-14 	100.00%	 5	aspartate phosphatase [Bacillus velezensis]	   98: 5.2e-05  138: 1.6e-05  179: 1.7e-04  220: 4.3e-09  259: 1.9e-03
816	AWM45400.1	 376	  55.7	 1.7E-17	 9.6E-14 	100.00%	 5	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	   98: 5.2e-05  138: 1.6e-05  179: 1.7e-04  220: 4.3e-09  259: 1.9e-03
817	AXO93512.1	 423	  55.7	 1.7E-17	 9.9E-14 	100.00%	 7	XRE family transcriptional regulator [Bacillus anthracis]	  150: 2.1e-04  190: 1.5e-02  230: 2.5e-05  270: 2.3e-07  310: 2.6e-02  350: 4.4e-05  390: 1.1e-04
818	QAR58129.1	 376	  55.7	 1.7E-17	 9.6E-14 	100.00%	 5	response regulator aspartate phosphatase H [Bacillus velezensis]	   98: 5.2e-05  138: 1.6e-05  179: 1.7e-04  220: 4.3e-09  259: 1.9e-03
819	QRF32255.1	 392	  55.7	 1.7E-17	 9.5E-14 	100.00%	 7	tetratricopeptide repeat protein [Bacillus safensis]	   89: 6.3e-03  129: 1.7e-06  170: 4.6e-06  210: 6.7e-07  249: 2.7e-02  288: 1.1e-03  327: 4.6e-03
820	QOQ54243.1	 376	  55.6	 1.8E-17	 1.0E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	   98: 5.1e-05  138: 1.7e-05  179: 1.7e-04  220: 7.5e-09  259: 1.1e-03
821	QNH47539.1	 392	  55.6	 1.9E-17	 1.1E-13 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. PAMC28571]	   89: 6.3e-03  129: 1.7e-06  170: 5.7e-06  210: 6.2e-07  249: 2.7e-02  288: 1.1e-03  327: 4.6e-03
822	QNK45398.1	 392	  55.6	 1.9E-17	 1.1E-13 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. PAMC22265]	   89: 6.3e-03  129: 1.7e-06  170: 5.7e-06  210: 6.2e-07  249: 2.7e-02  288: 1.1e-03  327: 4.6e-03
823	AHA79706.1	 381	  55.5	 2.0E-17	 1.2E-13 	100.00%	 5	Response regulator aspartate phosphatase F [Bacillus subtilis PY79]	  101: 4.9e-03  141: 1.8e-04  182: 3.5e-06  222: 2.3e-09  262: 1.9e-04
824	AKN11688.1	 381	  55.5	 2.0E-17	 1.2E-13 	100.00%	 5	response regulator aspartate phosphatase [Bacillus subtilis]	  101: 4.9e-03  141: 1.8e-04  182: 3.5e-06  222: 2.3e-09  262: 1.9e-04
825	ATO27479.1	 486	  55.5	 2.0E-17	 1.1E-13 	100.00%	 5	hypothetical protein RA13_05105 [Bacillus atrophaeus]	   21: 7.4e-07   55: 2.6e-04   90: 2.3e-04  153: 7.3e-06  187: 7.8e-07
826	QIM46950.1	 411	  55.4	 2.0E-17	 1.2E-13 	100.00%	 6	tetratricopeptide repeat protein [Streptococcus sp. CNU G2]	  130: 1.6e-04  167: 2.0e-10  234: 2.5e-03  268: 1.2e-03  332: 1.8e-04  366: 2.4e-03
827	AIZ60696.1	 420	  55.3	 2.2E-17	 1.2E-13 	100.00%	 5	aspartate phosphatase [Bacillus sp. WP8]	   99: 1.2e-03  139: 6.7e-05  180: 6.4e-05  220: 1.1e-09  262: 1.4e-04
828	AZV54224.1	 392	  55.3	 2.2E-17	 1.3E-13 	100.00%	 8	aspartate phosphatase [Bacillus pumilus]	   48: 8.6e-03   89: 6.5e-03  129: 1.7e-06  170: 1.3e-05  210: 3.0e-06  249: 4.5e-02  288: 1.0e-03  327: 3.7e-03
829	QNH46135.1	 420	  55.3	 2.2E-17	 1.2E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus sp. PAMC28571]	   99: 1.2e-03  139: 6.7e-05  180: 6.4e-05  220: 1.1e-09  262: 1.4e-04
830	QNK43992.1	 420	  55.3	 2.2E-17	 1.2E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus sp. PAMC22265]	   99: 1.2e-03  139: 6.7e-05  180: 6.4e-05  220: 1.1e-09  262: 1.4e-04
831	AMQ68980.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	aspartate phosphatase [Bacillus amyloliquefaciens UMAF6639]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
832	APB83352.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	aspartate phosphatase [Bacillus amyloliquefaciens]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
833	APH49030.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	aspartate phosphatase [Bacillus amyloliquefaciens]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
834	AQP97063.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	aspartate phosphatase [Bacillus sp. 275]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
835	AUJ59974.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	aspartate phosphatase [Bacillus velezensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
836	AWM84170.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
837	QHC12847.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
838	QIW84932.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
839	QPK88001.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
840	QQY04602.1	 376	  55.2	 2.4E-17	 1.4E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus velezensis]	   98: 5.3e-05  138: 1.6e-05  179: 2.5e-04  220: 7.5e-09  259: 1.1e-03
841	ALA53335.1	 362	  55.2	 2.5E-17	 1.4E-13 	100.00%	 5	response regulator aspartate phosphatase [Alkalihalobacillus clausii]	   89: 2.3e-04  129: 3.7e-06  169: 3.8e-05  207: 9.5e-07  246: 7.0e-05
842	AOC58231.1	 392	  55.2	 2.5E-17	 1.4E-13 	100.00%	 8	aspartate phosphatase [Bacillus pumilus]	   48: 8.6e-03   89: 6.5e-03  129: 1.7e-06  170: 1.3e-05  210: 3.0e-06  249: 4.5e-02  288: 6.8e-04  327: 6.4e-03
843	AFJ63678.1	 484	  55.0	 2.7E-17	 1.6E-13 	100.00%	 8	conserved hypothetical protein YvcD [Bacillus amyloliquefaciens Y2]	   21: 2.5e-06   55: 6.4e-05   90: 1.4e-03  153: 1.3e-03  187: 3.4e-07  221: 5.8e-03  255: 4.4e-02  290: 1.7e-03
844	QAR58378.1	 484	  55.0	 2.7E-17	 1.6E-13 	100.00%	 8	TPR repeat-containing protein [Bacillus velezensis]	   21: 2.5e-06   55: 6.4e-05   90: 1.4e-03  153: 1.3e-03  187: 3.4e-07  221: 5.8e-03  255: 4.4e-02  290: 1.7e-03
845	QCT44051.1	 364	  55.0	 2.8E-17	 1.6E-13 	100.00%	 5	hypothetical protein FORC086_08185 [Bacillus cereus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 3.9e-05
846	QKO32583.1	 364	  55.0	 2.8E-17	 1.6E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus thuringiensis]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 3.9e-05
847	QLF01009.1	 364	  55.0	 2.8E-17	 1.6E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus cereus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 3.9e-05
848	QQU34031.1	 364	  55.0	 2.8E-17	 1.6E-13 	100.00%	 5	tetratricopeptide repeat protein [Bacillus cereus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 3.9e-05
849	ARW41286.1	 379	  54.9	 2.9E-17	 1.7E-13 	100.00%	 7	Response regulator aspartate phosphatase [Bacillus amyloliquefaciens]	   43: 3.7e-03   82: 1.9e-03  122: 5.0e-04  203: 1.4e-06  242: 4.5e-07  284: 1.1e-02  324: 3.9e-04
850	AAU17660.1	 423	  54.8	 3.2E-17	 1.8E-13 	100.00%	 7	possible transcriptional regulator/TPR domain protein [Bacillus cereus E33L]	  150: 2.1e-04  190: 1.5e-02  230: 2.5e-05  270: 4.0e-07  310: 2.8e-02  350: 4.4e-05  390: 1.1e-04
851	CCF07018.1	 381	  54.8	 3.2E-17	 1.8E-13 	100.00%	 5	response regulator aspartate phosphatase [Bacillus velezensis CAU B946]	  101: 2.7e-03  141: 1.6e-04  182: 2.2e-06  222: 1.7e-08  262: 1.3e-04
852	AJI31423.1	 423	  54.8	 3.2E-17	 1.8E-13 	100.00%	 7	helix-turn-helix family protein [Bacillus cereus E33L]	  150: 2.1e-04  190: 1.5e-02  230: 2.5e-05  270: 4.0e-07  310: 2.8e-02  350: 4.4e-05  390: 1.1e-04
853	ARZ62946.1	 423	  54.8	 3.2E-17	 1.8E-13 	100.00%	 7	transcriptional regulator [Bacillus thuringiensis]	  150: 2.1e-04  190: 1.5e-02  230: 2.5e-05  270: 4.0e-07  310: 2.8e-02  350: 4.4e-05  390: 1.1e-04
854	AST96041.1	 366	  54.8	 3.2E-17	 1.8E-13 	100.00%	 5	aspartate phosphatase [Alkalihalobacillus clausii]	   93: 2.3e-04  133: 6.4e-07  173: 8.1e-05  211: 1.2e-05  250: 1.8e-05
855	QKE07878.1	 423	  54.8	 3.2E-17	 1.8E-13 	100.00%	 7	helix-turn-helix transcriptional regulator [Bacillus cereus]	  150: 2.1e-04  190: 1.5e-02  230: 2.5e-05  270: 4.0e-07  310: 2.8e-02  350: 4.4e-05  390: 1.1e-04
856	ABS20819.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	Tetratricopeptide domain protein [Bacillus cytotoxicus NVH 391-98]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
857	AWC27455.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	hypothetical protein CG483_002955 [Bacillus cytotoxicus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
858	AWC31470.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	hypothetical protein CG482_002745 [Bacillus cytotoxicus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
859	AWC35509.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	hypothetical protein CG481_002745 [Bacillus cytotoxicus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
860	AWC43556.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	hypothetical protein CG479_002735 [Bacillus cytotoxicus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
861	AWC49101.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	hypothetical protein CG478_012300 [Bacillus cytotoxicus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
862	AWC63774.1	 364	  54.7	 3.4E-17	 1.9E-13 	100.00%	 5	hypothetical protein CG475_002950 [Bacillus cytotoxicus]	   91: 1.7e-04  131: 2.5e-05  172: 2.3e-05  212: 6.6e-07  246: 4.7e-05
