WARNING: unknown options '-m tpr2.8.pp'
Nr.	Sequence	Len	Score	P-value	E-value	Probab	#	Description	pos:score ...
836	ASV00466.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	aspartate phosphatase [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
837	AXF35314.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	transcriptional regulator [Bacillus sp. DM2]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
838	AYF13475.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	transcriptional regulator [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
839	AYK65966.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis subsp. subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
840	QAS14219.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
841	QAR85665.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
842	QAT59868.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
843	QAT76999.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	transcriptional regulator [Bacillus sp. WR11]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
844	QAV86423.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
845	QAW06349.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
846	QAW10495.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
847	QAW35356.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
848	QAW47934.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
849	QFY86875.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	transcriptional regulator [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
850	QGI23858.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
851	QGI32879.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
852	QGI28891.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
853	QHK00023.1	 365	  62.8	 1.2E-19	 4.3E-16 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 8.4e-04  290: 6.5e-02  326: 6.9e-05
854	QHM02705.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
855	QHM07833.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
856	QJC18027.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
857	QJD02365.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	Response regulator aspartate phosphatase [Bacillus subtilis subsp. subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
858	QJD06345.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	Response regulator aspartate phosphatase [Bacillus subtilis subsp. subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
859	QNH39964.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus sp. PAMC26543]	   88: 2.8e-04  128: 5.8e-05  169: 1.4e-06  209: 3.5e-07  248: 1.2e-03  286: 7.9e-02  326: 1.2e-04
860	QPD83250.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
861	QPG29237.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
862	QQF63140.1	 365	  62.9	 1.2E-19	 4.1E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus mojavensis]	   88: 1.4e-04  128: 8.7e-05  169: 1.4e-06  209: 2.0e-07  248: 2.7e-03  286: 7.9e-02  326: 1.2e-04
863	QTM26345.1	 365	  62.9	 1.2E-19	 4.2E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 2.5e-03  290: 5.3e-02  326: 6.9e-05
864	QTV13711.1	 372	  62.9	 1.2E-19	 4.1E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus altitudinis]	   96: 1.7e-03  136: 3.0e-04  177: 1.2e-02  217: 7.4e-11  256: 1.8e-02  290: 3.7e-02  330: 2.4e-07
865	AEB22538.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	response regulator aspartate phosphatase [Bacillus amyloliquefaciens TA208]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
866	CBI41470.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	response regulator aspartate phosphatase [Bacillus amyloliquefaciens DSM 7]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
867	AEB61906.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	response regulator aspartate phosphatase [Bacillus amyloliquefaciens LL3]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
868	AEK87508.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	phosphatase regulator/competence and sporulation stimulating factor [Bacillus amyloliquefaciens XH7]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
869	AIW32446.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	aspartate phosphatase [Bacillus subtilis]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
870	AOC89898.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	Response regulator aspartate phosphatase [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
871	ARW37512.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	Response regulator aspartate phosphatase [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
872	ASF27607.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	aspartate phosphatase [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
873	QBG54769.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	aspartate phosphatase [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
874	AZV91760.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	aspartate phosphatase [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
875	QDP90841.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
876	QEK62164.1	 272	  62.8	 1.3E-19	 4.4E-16 	100.00%	 5	Response regulator aspartate phosphatase A [Bacillus safensis]	   40: 2.5e-04   74: 5.6e-07  114: 4.9e-08  156: 4.7e-05  230: 8.1e-03
877	QKN90789.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
878	QOQ55452.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
879	QUN09981.1	 382	  62.7	 1.3E-19	 4.6E-16 	100.00%	 4	tetratricopeptide repeat protein [Bacillus amyloliquefaciens]	  149: 9.9e-05  183: 1.1e-05  223: 1.0e-10  263: 1.5e-06
880	SNU99422.1	 372	  62.7	 1.3E-19	 4.6E-16 	100.00%	 7	aspartate phosphatase response regulator H [Bacillus pumilus]	   96: 2.8e-03  136: 3.0e-04  177: 1.2e-02  217: 7.4e-11  256: 1.2e-02  290: 3.7e-02  330: 2.4e-07
881	QNS21034.1	 375	  62.6	 1.4E-19	 5.1E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus halotolerans]	   96: 3.9e-05  136: 5.0e-04  177: 2.7e-04  219: 3.2e-09  258: 6.0e-07
882	QVN27635.1	 365	  62.7	 1.4E-19	 4.8E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus halotolerans]	   88: 1.4e-04  128: 5.8e-05  169: 1.4e-06  209: 3.5e-07  248: 1.2e-03  286: 7.9e-02  326: 2.6e-04
883	QBJ84470.1	 365	  62.5	 1.5E-19	 5.2E-16 	100.00%	 7	aspartate phosphatase [Bacillus subtilis subsp. subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 3.1e-03  290: 5.3e-02  326: 6.9e-05
884	QHL53679.1	 365	  62.5	 1.5E-19	 5.2E-16 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 3.0e-07  248: 3.1e-03  290: 5.3e-02  326: 6.9e-05
885	QPF44931.1	 376	  62.6	 1.5E-19	 5.2E-16 	100.00%	 6	response regulator aspartate phosphatase RapH [Bacillus subtilis]	   99: 2.2e-05  139: 4.1e-04  180: 5.9e-05  220: 1.8e-08  259: 9.4e-04  334: 2.3e-03
886	QRY13687.1	 419	  62.5	 1.5E-19	 5.4E-16 	100.00%	 5	helix-turn-helix domain-containing protein [Bacillus cereus]	  151: 1.5e-04  189: 2.0e-03  229: 4.6e-07  270: 5.4e-11  308: 6.9e-04
887	AEP93102.1	 365	  62.4	 1.6E-19	 5.7E-16 	100.00%	 7	response regulator aspartate phosphatase G [Bacillus subtilis subsp. subtilis str. RO-NN-1]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 1.3e-03  290: 5.3e-02  326: 6.9e-05
888	AWM22936.1	 365	  62.4	 1.6E-19	 5.7E-16 	100.00%	 7	transcriptional regulator [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 1.3e-03  290: 5.3e-02  326: 6.9e-05
889	QAS19465.1	 376	  62.4	 1.6E-19	 5.8E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus subtilis]	   99: 2.1e-05  139: 6.3e-04  180: 7.5e-05  220: 1.3e-08  259: 4.9e-04  334: 3.7e-03
890	QAS02860.1	 376	  62.4	 1.6E-19	 5.8E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus subtilis]	   99: 2.1e-05  139: 6.3e-04  180: 7.5e-05  220: 1.3e-08  259: 4.9e-04  334: 3.7e-03
891	QHJ93506.1	 376	  62.4	 1.6E-19	 5.8E-16 	100.00%	 6	Response regulator aspartate phosphatase H [Bacillus subtilis]	   99: 2.1e-05  139: 6.3e-04  180: 7.5e-05  220: 1.3e-08  259: 4.9e-04  334: 3.7e-03
892	QHJ96679.1	 365	  62.4	 1.6E-19	 5.7E-16 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 1.3e-03  290: 5.3e-02  326: 6.9e-05
893	QHM13384.1	 365	  62.4	 1.6E-19	 5.7E-16 	100.00%	 7	Response regulator aspartate phosphatase G [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 1.3e-03  290: 5.3e-02  326: 6.9e-05
894	QKJ79869.1	 365	  62.4	 1.6E-19	 5.7E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 1.3e-03  290: 5.3e-02  326: 6.9e-05
895	QQN86703.1	 370	  62.4	 1.6E-19	 5.6E-16 	100.00%	 7	tetratricopeptide repeat protein (plasmid) [Bacillus toyonensis]	   97: 3.0e-03  137: 4.4e-06  178: 2.0e-05  218: 2.4e-06  252: 3.3e-06  287: 3.6e-02  330: 1.0e-03
896	ADP32403.1	 377	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	aspartate phosphatase response regulator [Bacillus atrophaeus 1942]	  100: 1.2e-04  140: 8.6e-06  181: 1.6e-04  221: 8.4e-10  260: 8.2e-05
897	AGE76757.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	hypothetical protein HD73_1179 [Bacillus thuringiensis serovar kurstaki str. HD73]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
898	AGF53863.1	 439	  62.3	 1.7E-19	 6.0E-16 	100.00%	 9	hypothetical protein Cspa_c00280 [Clostridium saccharoperbutylacetonicum N1-4(HMT)]	   95: 7.1e-03  129: 8.6e-04  169: 4.1e-04  209: 7.3e-05  248: 1.3e-01  288: 1.5e-09  323: 6.8e-02  365: 7.6e-05  399: 1.6e-03
899	AHZ49925.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	response regulator aspartate phosphatase [Bacillus thuringiensis serovar kurstaki str. YBT-1520]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
900	AIE32301.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	response regulator aspartate phosphatase [Bacillus thuringiensis serovar kurstaki str. HD-1]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
901	AIM33493.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	hypothetical protein DF16_orf05078 [Bacillus thuringiensis serovar kurstaki str. YBT-1520]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
902	AKJ58298.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	histidine kinase [Bacillus thuringiensis]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
903	ALL60984.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	histidine kinase [Bacillus thuringiensis]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
904	AMX75933.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	histidine kinase [Bacillus thuringiensis]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
905	ARJ23097.1	 370	  62.3	 1.7E-19	 6.0E-16 	100.00%	 5	hypothetical protein B7492_18785 [Bacillus mycoides]	   97: 1.8e-04  137: 1.4e-05  178: 1.4e-08  218: 4.5e-07  259: 8.4e-04
906	ARX65015.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	hypothetical protein BVH75_02835 [Bacillus thuringiensis]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
907	ASI82048.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	response regulator aspartate phosphatase [Bacillus cereus]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
908	QBZ24082.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	response regulator aspartate phosphatase [Bacillus cereus]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
909	QDK68092.1	 375	  62.4	 1.7E-19	 5.9E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus halotolerans]	   96: 5.0e-05  136: 5.0e-04  177: 2.7e-04  219: 6.5e-09  258: 2.6e-07
910	QQU29578.1	 362	  62.4	 1.7E-19	 5.8E-16 	100.00%	 5	hypothetical protein I6I41_15665 [Bacillus cereus]	   91: 3.6e-05  131: 2.1e-03  172: 3.9e-07  212: 1.9e-07  246: 2.7e-06
911	AOY06305.1	 376	  62.2	 1.8E-19	 6.4E-16 	100.00%	 6	aspartate phosphatase [Bacillus subtilis]	   99: 3.5e-05  139: 4.1e-04  180: 4.7e-05  220: 1.3e-08  259: 4.9e-04  334: 6.0e-03
912	ARW06263.1	 376	  62.2	 1.8E-19	 6.4E-16 	100.00%	 5	Response regulator aspartate phosphatase [Bacillus atrophaeus]	   99: 2.6e-04  139: 1.3e-04  180: 3.6e-03  223: 9.2e-10  262: 1.1e-07
913	AVP44765.1	 370	  62.2	 1.8E-19	 6.5E-16 	100.00%	 7	tetratricopeptide repeat-containing protein [Bacillus cereus]	   97: 1.3e-03  137: 4.5e-05  178: 3.4e-06  218: 1.1e-05  252: 8.6e-07  290: 3.8e-02  330: 1.2e-03
914	AXO94092.1	 364	  62.1	 2.0E-19	 7.0E-16 	100.00%	 7	tetratricopeptide repeat protein [Bacillus anthracis]	   91: 2.3e-04  131: 5.6e-04  172: 1.2e-07  212: 6.7e-06  246: 1.1e-04  281: 1.2e-01  324: 1.3e-04
915	QBJ69123.1	 364	  62.1	 2.0E-19	 7.0E-16 	100.00%	 7	tetratricopeptide repeat-containing protein [Bacillus anthracis]	   91: 2.3e-04  131: 5.6e-04  172: 1.2e-07  212: 6.7e-06  246: 1.1e-04  281: 1.2e-01  324: 1.3e-04
916	QRF83788.1	 372	  62.1	 2.0E-19	 6.9E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus altitudinis]	  136: 3.4e-04  177: 1.6e-04  217: 1.3e-10  255: 5.0e-05  330: 1.4e-03
917	AAS42429.1	 364	  62.1	 2.1E-19	 7.3E-16 	100.00%	 7	response regulator, putative [Bacillus cereus ATCC 10987]	   91: 2.3e-04  131: 5.6e-04  172: 1.2e-07  212: 6.7e-06  246: 1.1e-04  284: 1.3e-01  324: 1.3e-04
918	AIE80216.1	 364	  62.1	 2.1E-19	 7.3E-16 	100.00%	 7	response regulator aspartate phosphatase [Bacillus cereus]	   91: 2.3e-04  131: 5.6e-04  172: 1.2e-07  212: 6.7e-06  246: 1.1e-04  284: 1.3e-01  324: 1.3e-04
919	AZV48991.1	 382	  62.1	 2.1E-19	 7.4E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus halotolerans]	  102: 2.6e-03  142: 2.4e-04  183: 3.5e-05  223: 2.7e-10  263: 2.4e-06
920	QAR59988.1	 365	  62.0	 2.1E-19	 7.4E-16 	100.00%	 7	aspartate phosphatase [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 1.7e-03  290: 5.3e-02  326: 6.9e-05
921	QDK67840.1	 382	  62.1	 2.1E-19	 7.4E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus halotolerans]	  102: 2.6e-03  142: 2.4e-04  183: 3.5e-05  223: 2.7e-10  263: 2.4e-06
922	QKS03185.1	 382	  62.1	 2.1E-19	 7.4E-16 	100.00%	 5	response regulator aspartate phosphatase RapC [Bacillus halotolerans]	  102: 2.6e-03  142: 2.4e-04  183: 3.5e-05  223: 2.7e-10  263: 2.4e-06
923	QNH39536.1	 382	  62.1	 2.1E-19	 7.4E-16 	100.00%	 5	response regulator aspartate phosphatase RapC [Bacillus sp. PAMC26543]	  102: 2.6e-03  142: 2.4e-04  183: 3.5e-05  223: 2.7e-10  263: 2.4e-06
924	QNK37476.1	 376	  62.1	 2.1E-19	 7.2E-16 	100.00%	 6	response regulator aspartate phosphatase RapH [Bacillus subtilis subsp. subtilis]	   99: 2.2e-05  139: 5.0e-04  180: 7.5e-05  220: 1.3e-08  259: 1.2e-03  334: 2.3e-03
925	QNS20739.1	 382	  62.1	 2.1E-19	 7.4E-16 	100.00%	 5	response regulator aspartate phosphatase RapC [Bacillus halotolerans]	  102: 2.6e-03  142: 2.4e-04  183: 3.5e-05  223: 2.7e-10  263: 2.4e-06
926	QQF62297.1	 382	  62.1	 2.1E-19	 7.4E-16 	100.00%	 5	response regulator aspartate phosphatase RapC [Bacillus mojavensis]	  102: 2.6e-03  142: 2.4e-04  183: 3.5e-05  223: 2.7e-10  263: 2.4e-06
927	AAU17039.1	 364	  62.0	 2.2E-19	 7.7E-16 	100.00%	 7	possible response regulator aspartate phosphatase [Bacillus cereus E33L]	   91: 2.7e-04  131: 5.6e-04  172: 1.2e-07  212: 6.7e-06  246: 1.1e-04  284: 1.0e-01  324: 1.3e-04
928	AJI30208.1	 364	  62.0	 2.2E-19	 7.7E-16 	100.00%	 7	tetratricopeptide repeat family protein [Bacillus cereus E33L]	   91: 2.7e-04  131: 5.6e-04  172: 1.2e-07  212: 6.7e-06  246: 1.1e-04  284: 1.0e-01  324: 1.3e-04
929	AWM16041.1	 375	  62.0	 2.2E-19	 7.7E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus inaquosorum]	   96: 5.0e-05  136: 5.0e-04  177: 2.7e-04  219: 3.2e-09  258: 7.1e-07
930	AZV48702.1	 375	  62.0	 2.2E-19	 7.7E-16 	100.00%	 5	aspartate phosphatase [Bacillus halotolerans]	   96: 5.0e-05  136: 5.0e-04  177: 2.7e-04  219: 3.2e-09  258: 7.1e-07
931	QAV83218.1	 376	  62.0	 2.2E-19	 7.7E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus subtilis]	   99: 2.2e-05  139: 6.3e-04  180: 3.8e-05  220: 1.3e-08  259: 2.0e-03  334: 2.3e-03
932	QGI19861.1	 365	  62.0	 2.2E-19	 7.6E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 8.4e-04  290: 6.5e-02  326: 1.2e-04
933	QGI11239.1	 365	  62.0	 2.2E-19	 7.6E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 8.4e-04  290: 6.5e-02  326: 1.2e-04
934	QKS03442.1	 375	  62.0	 2.2E-19	 7.7E-16 	100.00%	 5	tetratricopeptide repeat protein [Bacillus halotolerans]	   96: 5.0e-05  136: 5.0e-04  177: 2.7e-04  219: 3.2e-09  258: 7.1e-07
935	QRQ52423.1	 365	  62.0	 2.2E-19	 7.6E-16 	100.00%	 7	response regulator aspartate phosphatase RapG [Bacillus subtilis]	   88: 3.9e-04  128: 8.7e-05  169: 8.1e-07  209: 7.7e-07  248: 8.4e-04  290: 6.5e-02  326: 1.2e-04
936	AJO57340.1	 376	  61.9	 2.3E-19	 8.1E-16 	100.00%	 6	aspartate phosphatase [Bacillus sp. YP1]	   99: 2.2e-05  139: 5.0e-04  180: 2.0e-04  220: 1.3e-08  259: 4.9e-04  334: 2.2e-03
937	ASB98487.1	 376	  61.9	 2.3E-19	 8.1E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus subtilis]	   99: 2.2e-05  139: 5.0e-04  180: 2.0e-04  220: 1.3e-08  259: 4.9e-04  334: 2.2e-03
938	QAR82435.1	 376	  61.9	 2.3E-19	 8.1E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus subtilis]	   99: 2.2e-05  139: 5.0e-04  180: 2.0e-04  220: 1.3e-08  259: 4.9e-04  334: 2.2e-03
939	QAT73693.1	 376	  61.9	 2.3E-19	 8.1E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus sp. WR11]	   99: 2.2e-05  139: 5.0e-04  180: 2.0e-04  220: 1.3e-08  259: 4.9e-04  334: 2.2e-03
940	QAW44749.1	 376	  61.9	 2.3E-19	 8.1E-16 	100.00%	 6	tetratricopeptide repeat protein [Bacillus subtilis]	   99: 2.2e-05  139: 5.0e-04  180: 2.0e-04  220: 1.3e-08  259: 4.9e-04  334: 2.2e-03
